ID;Name;Start;End
1;Steuerzeichen;0;31
2;Basis-Lateinisch;32;127
3;Lateinisch-1, Ergänzung;128;255
4;Lateinisch, erweitert-A;256;383
5;Lateinisch, erweitert-B;384;591
6;IPA-Erweiterungen;592;687
7;Spacing Modifier Letters;688;767
8;Kombinierende diakritische Zeichen;768;879
9;Griechisch und Koptisch;880;1023
10;Kyrillisch;1024;1279
11;Kyrillisch, Ergänzung;1280;1327
12;Armenisch;1328;1423
13;Hebräisch;1424;1535
14;Arabisch;1536;1791
15;Syrisch;1792;1871
16;Arabisch, Ergänzung;1872;1919
17;Thaana;1920;1983
18;NKo;1984;2047
19;Samaritanisch;2048;2111
20;Mandäisch;2112;2143
21;Arabisch, erweitert-A;2208;2303
22;Devanagari;2304;2431
23;Bengalisch;2432;2559
24;Gurmukhi;2560;2687
25;Gujarati;2688;2815
26;Oriya;2816;2943
27;Tamilisch;2944;3071
28;Telugu;3072;3199
29;Kannada;3200;3327
30;Malayalam;3328;3455
31;Singhalesisch;3456;3583
32;Thailändisch;3584;3711
33;Laotisch;3712;3839
34;Tibetisch;3840;4095
35;Birmanisch;4096;4255
36;Georgisch;4256;4351
37;Hangeul-Jamo;4352;4607
38;Äthiopisch;4608;4991
39;Äthiopisch, Zusatz;4992;5023
40;Cherokee;5024;5119
41;Vereinh. Silbenzeichen kanad. Ureinwohner;5120;5759
42;Ogam;5760;5791
43;Runen;5792;5887
44;Tagalog;5888;5919
45;Hanunóo;5920;5951
46;Buid;5952;5983
47;Tagbanuwa;5984;6015
48;Khmer;6016;6143
49;Mongolisch;6144;6319
50;Vereinh. Silbenz. kanad. Ureinw., erw.;6320;6399
51;Limbu;6400;6479
52;Tai Le;6480;6527
53;Neu-Tai-Lue;6528;6623
54;Khmer-Symbole;6624;6655
55;Buginesisch;6656;6687
56;Lanna;6688;6831
57;Combining Diacritical Marks Extended;6832;6911
58;Balinesisch;6912;7039
59;Sundanesisch;7040;7103
60;Batak;7104;7167
61;Lepcha;7168;7247
62;Ol Chiki;7248;7295
63;Sundanesisch, Ergänzung;7360;7375
64;Vedische Erweiterungen;7376;7423
65;Phonetische Erweiterungen;7424;7551
66;Phonetische Erweiterungen, Ergänzung;7552;7615
67;Komb. diakr. Zeichen, Ergänzung;7616;7679
68;Lateinisch, weiterer Zusatz;7680;7935
69;Griechisch, Zusatz;7936;8191
70;Allgemeine Interpunktion;8192;8303
71;Hoch- und tiefgestellte Zeichen;8304;8351
72;Währungszeichen;8352;8399
73;Komb. diakr. Zeichen für Symbole;8400;8447
74;Buchstabenähnliche Symbole;8448;8527
75;Zahlzeichen;8528;8591
76;Pfeile;8592;8703
77;Mathematische Operatoren;8704;8959
78;Verschiedene technische Zeichen;8960;9215
79;Symbole für Steuerzeichen;9216;9279
80;Optische Zeichenerkennung;9280;9311
81;Umschlossene alphanumerische Zeichen;9312;9471
82;Rahmenzeichnung;9472;9599
83;Blockelemente;9600;9631
84;Geometrische Formen;9632;9727
85;Verschiedene Symbole;9728;9983
86;Dingbats;9984;10175
87;Verschiedene mathematische Symbole-A;10176;10223
88;Zusätzliche Pfeile-A;10224;10239
89;Braille-Zeichen;10240;10495
90;Zusätzliche Pfeile-B;10496;10623
91;Verschiedene mathematische Symbole-B;10624;10751
92;Zusätzliche Mathematische Operatoren;10752;11007
93;Verschiedene Symbole und Pfeile;11008;11263
94;Glagolitisch;11264;11359
95;Lateinisch, erweitert-C;11360;11391
96;Koptisch;11392;11519
97;Georgisch, Ergänzung;11520;11567
98;Tifinagh;11568;11647
99;Äthiopisch, erweitert;11648;11743
100;Kyrillisch, erweitert-A;11744;11775
101;Zusätzliche Interpunktion;11776;11903
102;CJK-Radikale, Ergänzung;11904;12031
103;Kangxi-Radikale;12032;12255
104;Ideographische Beschreibungszeichen;12272;12287
105;CJK-Symbole und -Interpunktion;12288;12351
106;Hiragana;12352;12447
107;Katakana;12448;12543
108;Bopomofo;12544;12591
109;Hangeul-Jamo, Kompatibilität;12592;12687
110;Kanbun;12688;12703
111;Bopomofo, erweitert;12704;12735
112;CJK-Striche;12736;12783
113;Katakana, Phonetische Erweiterungen;12784;12799
114;Umschlossene CJK-Zeichen und -Monate;12800;13055
115;CJK-Kompatibilität;13056;13311
116;Vereinheitlichte CJK-Ideogramme, Erweiterung A;13312;19903
117;I-Ging-Hexagramme;19904;19967
118;Vereinheitlichte CJK-Ideogramme;19968;40959
119;Yi-Silbenzeichen;40960;42127
120;Yi-Radikale;42128;42191
121;Lisu;42192;42239
122;Lisu;42240;42559
123;Kyrillisch, erweitert-B;42560;42655
124;Bamum;42656;42751
125;Modifizierende Tonzeichen;42752;42783
126;Lateinisch, erweitert-D;42784;43007
127;Syloti Nagri;43008;43055
128;Allgemeine indische Ziffern;43056;43071
129;Phagspa;43072;43135
130;Saurashtra;43136;43231
131;Devanagari, erweitert;43232;43263
132;Kayah Li;43264;43311
133;Rejang;43312;43359
134;Hangeul-Jamo, erweitert-A;43360;43391
135;Javanisch;43392;43487
136;Myanmar Extended-B;43488;43519
137;Cham;43520;43615
138;Birmanisch, erweitert-A;43616;43647
139;Tai Viet;43648;43743
140;Meitei-Mayek, Erweiterungen;43744;43775
141;Äthiopisch, erweitert-A;43776;43823
142;Latin Extended-E;43824;43887
143;Cherokee Supplement;43888;43967
144;Meitei-Mayek;43968;44031
145;Hangeul-Silbenzeichen;44032;55215
146;Hangul Jamo Extended-B;55216;55295
147;High Surrogates;55296;56191
148;High Surrogates (privater Bereich);56192;56319
149;Low Surrogates;56320;57343
150;Private Use Zone;57344;63743
151;CJK-Ideogramme, Kompatibilität;63744;64255
152;Alphabetische Präsentationsformen;64256;64335
153;Arabische Präsentationsformen-A;64336;65023
154;Variantenselektoren;65024;65039
155;Vertikale Formen;65040;65055
156;Kombinierende halbe diakritische Zeichen;65056;65071
157;CJK-Kompatibilitätsformen;65072;65103
158;Kleine Formvarianten;65104;65135
159;Arabische Präsentationsformen-B;65136;65279
160;Halbbreite und vollbreite Formen;65280;65519
161;Spezielles;65520;65535
162;Linear B Syllabary;65536;65663
163;Linear B Ideograms;65664;65791
164;Aegean Numbers;65792;65855
165;Ancient Greek Numbers;65856;65935
166;Ancient Symbols;65936;65999
167;Phaistos Disc;66000;66047
168;Lycian;66176;66207
169;Carian;66208;66271
170;Coptic Epact Numbers;66272;66303
171;Old Italic;66304;66351
172;Gothic;66352;66383
173;Old Permic;66384;66431
174;Ugaritic;66432;66463
175;Old Persian;66464;66527
176;Deseret;66560;66639
177;Shavian;66640;66687
178;Osmanya;66688;66735
179;Elbasan;66816;66863
180;Caucasian Albanian;66864;66927
181;Linear A;67072;67455
182;Cypriot Syllabary;67584;67647
183;Imperial Aramaic;67648;67679
184;Palmyrene;67680;67711
185;Nabataean;67712;67759
186;Hatran;67808;67839
187;Phoenician;67840;67871
188;Lydian;67872;67903
189;Meroitic Hieroglyphs;67968;67999
190;Meroitic Cursive;68000;68095
191;Kharoshthi;68096;68191
192;Old South Arabian;68192;68223
193;Old North Arabian;68224;68255
194;Manichaean;68288;68351
195;Avestan;68352;68415
196;Inscriptional Parthian;68416;68447
197;Inscriptional Pahlavi;68448;68479
198;Psalter Pahlavi;68480;68527
199;Old Turkic;68608;68687
200;Old Hungarian;68736;68863
201;Rumi Numeral Symbols;69216;69247
202;Brahmi;69632;69759
203;Kaithi;69760;69839
204;Sora Sompeng;69840;69887
205;Chakma;69888;69967
206;Mahajani;69968;70015
207;Sharada;70016;70111
208;Sinhala Archaic Numbers;70112;70143
209;Khojki;70144;70223
210;Multani;70272;70319
211;Khudawadi;70320;70399
212;Grantha;70400;70527
213;Tirhuta;70784;70879
214;Siddham;71040;71167
215;Modi;71168;71263
216;Takri;71296;71375
217;Ahom;71424;71487
218;Warang Citi;71840;71935
219;Pau Cin Hau;72384;72447
220;Cuneiform;73728;74751
221;Cuneiform Numbers and Punctuation;74752;74879
222;Early Dynastic Cuneiform;74880;75087
223;Egyptian Hieroglyphs;77824;78895
224;Anatolian Hieroglyphs;82944;83583
225;Bamum Supplement;92160;92735
226;Mro;92736;92783
227;Bassa Vah;92880;92927
228;Pahawh Hmong;92928;93071
229;Miao;93952;94111
230;Kana Supplement;110592;110847
231;Duployan;113664;113823
232;Shorthand Format Controls;113824;113839
233;Byzantine Musical Symbols;118784;119039
234;Musical Symbols;119040;119295
235;Ancient Greek Musical Notation;119296;119375
236;Tai Xuan Jing Symbols;119552;119647
237;Counting Rod Numerals;119648;119679
238;Mathematical Alphanumeric Symbols;119808;120831
239;Sutton SignWriting;120832;121519
240;Mende Kikakui;124928;125151
241;Arabic Mathematical Alphabetic Symbols;126464;126719
242;Mahjong Tiles;126976;127023
243;Domino Tiles;127024;127135
244;Playing Cards;127136;127231
245;Enclosed Alphanumeric Supplement;127232;127487
246;Enclosed Ideographic Supplement;127488;127743
247;Miscellaneous Symbols and Pictographs;127744;128511
248;Emoticons (Emoji);128512;128591
249;Ornamental Dingbats;128592;128639
250;Transport and Map Symbols;128640;128767
251;Alchemical Symbols;128768;128895
