0000;001F;Steuerzeichen
0020;007F;Basis-Lateinisch
0080;00FF;Lateinisch-1, Ergänzung
0100;017F;Lateinisch, erweitert-A
0180;024F;Lateinisch, erweitert-B
0250;02AF;IPA-Erweiterungen
02B0;02FF;Spacing Modifier Letters
0300;036F;Kombinierende diakritische Zeichen
0370;03FF;Griechisch und Koptisch
0400;04FF;Kyrillisch
0500;052F;Kyrillisch, Ergänzung
0530;058F;Armenisch
0590;05FF;Hebräisch
0600;06FF;Arabisch
0700;074F;Syrisch
0750;077F;Arabisch, Ergänzung
0780;07BF;Thaana
07C0;07FF;NKo
0800;083F;Samaritanisch
0840;085F;Mandäisch
08A0;08FF;Arabisch, erweitert-A
0900;097F;Devanagari
0980;09FF;Bengalisch
0A00;0A7F;Gurmukhi
0A80;0AFF;Gujarati
0B00;0B7F;Oriya
0B80;0BFF;Tamilisch
0C00;0C7F;Telugu
0C80;0CFF;Kannada
0D00;0D7F;Malayalam
0D80;0DFF;Singhalesisch
0E00;0E7F;Thailändisch
0E80;0EFF;Laotisch
0F00;0FFF;Tibetisch
1000;109F;Birmanisch
10A0;10FF;Georgisch
1100;11FF;Hangeul-Jamo
1200;137F;Äthiopisch
1380;139F;Äthiopisch, Zusatz
13A0;13FF;Cherokee
1400;167F;Vereinh. Silbenzeichen kanad. Ureinwohner
1680;169F;Ogam
16A0;16FF;Runen
1700;171F;Tagalog
1720;173F;Hanunóo
1740;175F;Buid
1760;177F;Tagbanuwa
1780;17FF;Khmer
1800;18AF;Mongolisch
18B0;18FF;Vereinh. Silbenz. kanad. Ureinw., erw.
1900;194F;Limbu
1950;197F;Tai Le
1980;19DF;Neu-Tai-Lue
19E0;19FF;Khmer-Symbole
1A00;1A1F;Buginesisch
1A20;1AAF;Lanna
1AB0;1AFF;Combining Diacritical Marks Extended
1B00;1B7F;Balinesisch
1B80;1BBF;Sundanesisch
1BC0;1BFF;Batak
1C00;1C4F;Lepcha
1C50;1C7F;Ol Chiki
1CC0;1CCF;Sundanesisch, Ergänzung
1CD0;1CFF;Vedische Erweiterungen
1D00;1D7F;Phonetische Erweiterungen
1D80;1DBF;Phonetische Erweiterungen, Ergänzung
1DC0;1DFF;Komb. diakr. Zeichen, Ergänzung
1E00;1EFF;Lateinisch, weiterer Zusatz
1F00;1FFF;Griechisch, Zusatz
2000;206F;Allgemeine Interpunktion
2070;209F;Hoch- und tiefgestellte Zeichen
20A0;20CF;Währungszeichen
20D0;20FF;Komb. diakr. Zeichen für Symbole
2100;214F;Buchstabenähnliche Symbole
2150;218F;Zahlzeichen
2190;21FF;Pfeile
2200;22FF;Mathematische Operatoren
2300;23FF;Verschiedene technische Zeichen
2400;243F;Symbole für Steuerzeichen
2440;245F;Optische Zeichenerkennung
2460;24FF;Umschlossene alphanumerische Zeichen
2500;257F;Rahmenzeichnung
2580;259F;Blockelemente
25A0;25FF;Geometrische Formen
2600;26FF;Verschiedene Symbole
2700;27BF;Dingbats
27C0;27EF;Verschiedene mathematische Symbole-A
27F0;27FF;Zusätzliche Pfeile-A
2800;28FF;Braille-Zeichen
2900;297F;Zusätzliche Pfeile-B
2980;29FF;Verschiedene mathematische Symbole-B
2A00;2AFF;Zusätzliche Mathematische Operatoren
2B00;2BFF;Verschiedene Symbole und Pfeile
2C00;2C5F;Glagolitisch
2C60;2C7F;Lateinisch, erweitert-C
2C80;2CFF;Koptisch
2D00;2D2F;Georgisch, Ergänzung
2D30;2D7F;Tifinagh
2D80;2DDF;Äthiopisch, erweitert
2DE0;2DFF;Kyrillisch, erweitert-A
2E00;2E7F;Zusätzliche Interpunktion
